"","logFC","negLogPval","Gene"
"82",-2.04879015299901,9.28325922255395,"EMX1"
"83",-2.96650400142772,9.19443974008066,"HMGCS2"
"84",-2.08692131818053,9.18075689044652,"C1orf173"
"85",-2.19678307430777,9.17985499513499,"LOC389033"
"86",-3.1729988835152,9.12432699919754,"SERPINA6"
"87",-2.15770259065241,9.06744582080859,"TMC5"
"88",-2.18721937624734,9.04267428031833,"HEPACAM2"
"89",2.22629425258497,8.92982024982113,"SLC15A1"
"90",-2.03345930254839,8.87380348267426,"RIMS4"
"91",2.24640835854339,8.76970527742251,"GABBR2"
"92",-2.08957070468176,8.64756040479268,"PHGR1"
"93",2.85666170499126,8.39108728008257,"VGLL1"
"94",2.46859530902201,8.30515125690189,"ROPN1"
"95",-2.02739692857792,8.30231452094371,"CHST8"
"96",2.02337204757836,8.29146675900805,"AMY1A"
"97",-2.31604063665714,8.28097124735122,"CEACAM6"
"98",-2.51140098299,8.16307314866746,"CEACAM5"
"99",-2.3862803885944,8.11712149890966,"ABCC11"
"100",-2.70057559898269,8.03349704160488,"SLC30A8"
"101",-2.28182556572175,7.99389858166227,"BPIL1"
"102",2.13012187636734,7.98501722701513,"EN1"
"103",2.09486212141017,7.91800217581523,"MARCO"
"104",2.06651469279732,7.85694580883775,"LOC84740"
"105",2.65573366997024,7.79983169103596,"A2ML1"
"106",-3.52210631930087,7.6488266272808,"CPB1"
"107",-2.76137366339748,7.55590196751486,"KCNJ3"
"108",-2.24270666384149,7.47714880033034,"C10orf82"
"109",2.22946404441842,7.41522537260538,"ZIC1"
"110",-2.20854220553019,7.25069547276572,"CDC20B"
"111",2.39152946732602,7.23572966071971,"CA9"
"112",-3.0256794546808,6.71879944584717,"SCGB2A2"
"113",-2.37567198595149,6.63123747692999,"DHRS2"
"114",-2.05301169969408,6.43595285575156,"ABCC13"
"115",-2.02625218906657,6.31644570318635,"BMPR1B"
"116",-2.48262408788042,6.2651988583783,"PIP"
"117",-2.60042642138258,6.02416618936384,"SCGB1D2"
"118",-2.22055414653367,5.4827193881801,"VSTM2A"
"119",2.03606158483095,5.39335109021492,"AQP5"
"120",2.24623232600734,5.25993585316177,"FABP7"
